"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"SLC39A12",46,8,8.00686215848357e-05,3.9665446840573,9.85879607387455,1.82331818318288,0.00738894886288922
"ZP4",46,8,8.00686215848357e-05,3.9665446840573,9.85879607387455,1.82331818318288,0.00738894886288922
"MUC17",93,28,8.12057491978057e-05,2.38641758440322,3.87918390915724,1.50710656733842,0.00738894886288922
"MEGF8",15,31,8.25019471514991e-05,0.292998286412211,0.569728962417138,0.144573636348591,0.00738894886288922
"ZNF804A",71,18,8.25914162016307e-05,2.78386317039399,5.06178016550899,1.60451564139881,0.00738894886288922
"EPS8L1",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"FAM9A",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"FZD3",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"FZD6",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"HBS1L",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"HLA-B",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"LRRC41",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"MRTFA",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"MX1",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"RFTN1",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"TUT7",2,14,8.66009005451492e-05,0.0890677176502003,0.391587135102225,0.0097597151345985,0.00738894886288922
"ERICH3",84,24,8.69527861036885e-05,2.4953002198183,4.20416341823434,1.52941754829561,0.00738894886288922
"EIF3A",8,23,9.59611325709332e-05,0.213197828208524,0.501028573240044,0.0814375822282357,0.00809123441065147
"CCDC160",1,12,9.94688788456287e-05,0.0521806760305776,0.355674004427697,0.00121998749369693,0.00813475936243537
"KCNC3",1,12,9.94688788456287e-05,0.0521806760305776,0.355674004427697,0.00121998749369693,0.00813475936243537
"SIN3B",1,12,9.94688788456287e-05,0.0521806760305776,0.355674004427697,0.00121998749369693,0.00813475936243537
"TRAPPC10",1,12,9.94688788456287e-05,0.0521806760305776,0.355674004427697,0.00121998749369693,0.00813475936243537
"MIA3",11,26,0.000111755518821922,0.25832340159267,0.549939380619469,0.11354597446003,0.0090713789419854
"PLPPR4",65,16,0.000114395111430797,2.8476551323841,5.37259990502628,1.59401086118945,0.00921685649653913
"PLXNB1",6,20,0.000118497499170373,0.184922560617774,0.483831983279478,0.0601158972335559,0.00947718601820697
"FANCA",4,17,0.000122551516829488,0.145856163127493,0.452468026325734,0.0354146875500653,0.00965936846778509
"GGT5",4,17,0.000122551516829488,0.145856163127493,0.452468026325734,0.0354146875500653,0.00965936846778509
"OR2C3",18,0,0.000129412546656946,Inf,Inf,2.91162074462486,0.00998312248218158
"REG3G",18,0,0.000129412546656946,Inf,Inf,2.91162074462486,0.00998312248218158
"TRBV3-1",18,0,0.000129412546656946,Inf,Inf,2.91162074462486,0.00998312248218158
"HEPH",42,7,0.000130578063413,4.11733798470889,10.9934111308225,1.8039941028199,0.0100020957446704
"SMAD4",19,35,0.00013489810455332,0.326997464549775,0.599442987562669,0.173435976089402,0.0102607460365487
"BLM",5,18,0.000142924841683927,0.171967101553346,0.486638786326949,0.0494278909669494,0.0107213345034212
"TOGARAM2",5,18,0.000142924841683927,0.171967101553346,0.486638786326949,0.0494278909669494,0.0107213345034212
"OR2T1",23,1,0.000153466967165062,15.4576577649435,637.915053471724,2.48599147112172,0.0114332890537971
"SDK1",29,44,0.000157508906599403,0.39300454227824,0.657828560386998,0.231759679826049,0.0116545875991953
"DOCK8",9,23,0.000164477070561044,0.240279368835665,0.547225896069383,0.0965845794466927,0.0118477953410098
"MAP2K4",9,23,0.000164477070561044,0.240279368835665,0.547225896069383,0.0965845794466927,0.0118477953410098
"PKDREJ",9,23,0.000164477070561044,0.240279368835665,0.547225896069383,0.0965845794466927,0.0118477953410098
"PTEN",9,23,0.000164477070561044,0.240279368835665,0.547225896069383,0.0965845794466927,0.0118477953410098
"OR8U1",30,3,0.000171499836034291,6.77535324080028,34.9562510359495,2.08178495228949,0.0122723928720064
"SEC16A",8,22,0.000176230036045764,0.223574573612447,0.529023300368633,0.0850166753252067,0.0125284581834626
